Episode,Average Reward,Average Loss,Total Lines sent
231,-3.9119402985074623,15.135041430794091,2
232,-5.046527777777777,26.49254422194402,2
233,-4.0777777777777775,6.9278571413504695,2
234,-3.6046012269938634,17.67454402956346,18
235,-2.5707831325301203,19.465320207970006,27
236,-4.505288461538462,10.6081327651931,5
237,-3.904,14.024963708964641,4
238,-3.232692307692307,21.47796635730246,16
239,-3.2733644859813085,23.549996926988886,11
240,-5.462727272727273,18.694502700204875,1
241,-4.3651960784313735,19.550087864328102,8
242,-3.9578313253012047,22.139415438141793,6
243,-3.868571428571429,20.635999305051936,5
244,-3.810655737704918,42.016314955519846,0
245,-4.1159638554216835,5.972990196634432,14
246,-6.499342105263156,7.3533745272924484,2
247,-5.601401869158877,19.924452012929212,6
248,-4.229906542056075,34.92753424421693,7
249,-3.534193548387098,8.021576813566348,20
250,-7.035507246376811,169.47750146978575,4
251,-3.983505154639174,95.77085424886045,10
252,-4.965060240963857,13.358104988086144,11
253,-4.003773584905661,3.7077380259059214,6
254,-3.255511811023622,4.80027916616823,8
255,-5.069724770642202,13.557711453194123,10
256,-5.202857142857144,22.29629137230416,11
257,-5.143137254901961,7.834571142189032,0
258,-2.8746212121212134,22.856484829123612,7
259,-4.323493975903613,11.759475821000805,3
260,-2.17,15.015781504380257,14
261,-3.335263157894737,13.019230996582069,6
262,-3.6488235294117652,27.391702986118275,17
263,-4.292148760330578,71.82458868915262,13
264,-3.6366071428571436,62.68472677010037,9
265,-3.7677272727272717,14.671530281367119,11
266,-3.2721311475409833,24.261772413336345,11
267,-3.8441176470588228,79.85484670738478,6
268,-3.8428571428571425,111.15898316893136,0
269,-4.239393939393938,238.09404722471353,2
270,-4.9685483870967735,30.81150054450958,1
271,-2.9341772151898735,22.29403598460404,2
272,-4.060714285714286,17.476974086969026,1
273,-3.4842975206611575,33.743596046435655,10
274,-5.428571428571432,40.13334029992776,11
275,-4.84109589041096,24.614782698554535,3
276,-4.324809160305342,27.232449364983513,14
277,-4.29718309859155,11.89052538530783,0
278,-3.514204545454545,20.742027791132966,5
279,-4.465137614678898,19.57623999173659,10
280,-4.206565656565656,29.184344494344334,5
281,-7.930499999999998,38.125650214368946,7
282,-4.8743421052631595,29.17965719710092,3
283,-2.5525362318840594,34.148539347574534,10
284,-4.992777777777778,103.45405916279803,3
285,-4.584765624999998,110.00729181395218,12
286,-3.7054347826086973,15.84587422689504,4
287,-3.6891304347826095,26.45953942463814,9
288,-6.733035714285714,29.63742999466402,2
289,-3.829245283018868,46.73166309248103,5
290,-4.210135135135135,21.36517060661336,2
291,-4.219620253164558,19.098243154833664,5
292,-4.895327102803737,21.929534790172486,10
293,-3.744881889763779,22.506208839454125,9
294,-3.604629629629631,25.18261098723577,19
295,-2.884836065573771,14.566234735033474,10
296,-3.2333333333333334,22.272042304125375,18
297,-5.847093023255815,117.25054306785988,4
298,-4.1125,73.70873469310108,4
299,-6.466455696202532,231.71963677987975,4
300,-3.3796992481203,165.34079873136287,12
301,-1.8797546012269943,62.57120622705919,29
302,-2.6965753424657524,17.594583138836267,9
303,-5.016901408450702,40.148732403993385,15
304,-3.6596899224806205,57.368928192869234,13
305,-3.6652,46.03133011775196,9
306,-4.795505617977528,38.33016688853314,5
307,-3.851612903225808,26.097710988173883,6
308,-4.248850574712641,16.14877052380689,3
309,-4.565238095238095,100.21598816284747,7
310,-4.6692307692307695,66.6447736476548,2
311,-4.810119047619048,47.17580456564472,3
312,-5.348660714285715,102.39127550363317,5
313,-3.642647058823528,35.72441108040648,3
314,-4.356593406593406,54.661517833053146,7
315,-4.000000000000001,38.13982168045344,5
316,-2.91090909090909,17.501163390695563,9
317,-2.2924107142857144,17.78190163010939,9
318,-4.568981481481481,42.5462954070902,7
319,-4.349557522123893,18.94648869448564,7
320,-3.1037735849056602,15.783355767688196,5
321,-3.75,20.17695417343999,4
322,-5.116025641025641,66.8656937611373,4
323,-2.8531007751937985,9.161835764146721,9
324,-3.0075187969924797,22.04007485151795,13
325,-3.5643410852713178,17.098417854239774,16
326,-3.6747368421052644,10.853269158440986,5
327,-3.784671532846717,17.72069973377409,19
328,-3.966867469879518,27.320570406366873,18
329,-4.44968152866242,51.7970732546539,22
330,-4.479651162790698,15.826559548062548,2
331,-5.89025974025974,127.25242078730038,3
332,-5.342982456140352,93.2090543708279,8
333,-4.5327868852458995,18.89689449269752,0
334,-5.663953488372094,30.44083153921389,8
335,-3.316666666666667,10.748416359859045,5
336,-4.257142857142857,30.14374595363032,6
337,-5.0042168674698795,20.54402251925785,6
338,-3.6685897435897448,27.832797470287634,2
